timestamp,download_Mbps,upload_Mbps
2025-05-22 13:18:00.292889,8.58,13.11
2025-05-22 13:18:30.579219,8.26,17.76
2025-05-22 13:19:01.180115,7.93,9.68
2025-05-22 13:19:31.787392,6.3,18.99
2025-05-22 13:20:03.543032,7.72,10.43
2025-05-22 13:20:34.045245,8.45,16.46
2025-05-22 13:21:05.012824,11.76,16.2
2025-05-22 13:21:35.317274,13.15,23.41
2025-05-22 13:22:05.713508,9.14,14.56
2025-05-22 13:22:36.161030,15.19,15.54
2025-05-22 13:23:06.590714,14.2,15.59
2025-05-22 13:23:36.766302,15.73,24.77
2025-05-22 13:24:06.957219,10.99,14.89
2025-05-22 13:24:37.313734,15.0,17.89
2025-05-22 13:25:07.905701,15.15,11.75
2025-05-22 13:25:38.432981,15.79,24.34
2025-05-22 13:26:08.604793,14.53,15.38
2025-05-22 13:26:39.124153,9.49,21.32
2025-05-22 13:27:10.029332,10.06,13.01
2025-05-22 13:27:40.358192,12.0,12.36
2025-05-22 13:28:10.951739,10.72,15.03
2025-05-22 13:28:41.429680,15.58,24.4
2025-05-22 13:29:11.828924,11.8,16.75
2025-05-22 13:29:42.377357,11.62,22.38
2025-05-22 13:30:14.642344,13.05,17.29
2025-05-22 13:30:45.681645,13.91,14.15
2025-05-22 13:31:16.150533,12.75,14.04
2025-05-22 13:31:47.242633,16.62,26.69
2025-05-22 13:32:17.782767,8.83,14.48
2025-05-22 13:32:48.404987,12.4,16.26
2025-05-22 13:33:19.227702,14.69,22.36
2025-05-22 13:33:49.415719,20.69,28.02
2025-05-22 13:34:19.670506,16.64,16.3
2025-05-22 13:34:50.367814,10.73,21.31
2025-05-22 13:35:21.001603,10.36,12.7
2025-05-22 13:35:52.574720,6.43,8.63
2025-05-22 13:36:32.657466,12.08,22.97
2025-05-22 13:37:03.373778,7.61,19.45
2025-05-22 13:37:35.243234,3.62,17.0
2025-05-22 13:38:05.668556,3.46,14.3
2025-05-22 13:38:38.580381,8.73,11.98
2025-05-22 13:39:09.504853,9.33,18.69
2025-05-22 13:39:40.215301,12.4,20.74
2025-05-22 13:40:10.447272,6.14,12.76
2025-05-22 13:40:42.197329,2.01,7.67
2025-05-22 13:41:13.365032,3.56,8.61
2025-05-22 13:41:45.620633,9.21,9.94
2025-05-22 13:42:17.109933,15.2,16.01
2025-05-22 13:42:47.772216,10.57,14.39
2025-05-22 13:43:18.366122,5.53,3.25
2025-05-22 13:43:53.639820,0.0,0.0
2025-05-22 13:44:25.200363,0.0,0.0
2025-05-22 13:44:46.750624,0.0,0.0
2025-05-22 13:45:19.724450,0.0,0.0
2025-05-22 13:45:56.264067,20.72,44.84
2025-05-22 13:46:26.519537,16.78,18.7
2025-05-22 13:46:56.937626,11.87,16.15
2025-05-22 13:47:27.623149,17.44,37.94
2025-05-22 13:47:57.825263,12.14,17.91
2025-05-22 13:48:28.182802,8.02,19.14
2025-05-22 13:48:58.815692,15.37,28.82
2025-05-22 13:49:29.556515,1.9,30.07
2025-05-22 13:50:05.288537,23.85,17.59
2025-05-22 13:50:35.506567,17.94,41.67
2025-05-22 13:51:05.815788,8.9,19.46
2025-05-22 13:51:36.140739,20.74,11.82
2025-05-22 13:52:06.332839,18.01,31.19
2025-05-22 13:52:36.674468,18.73,32.41
2025-05-22 13:53:07.006337,18.96,28.28
2025-05-22 13:53:37.193515,13.41,13.12
2025-05-22 13:54:07.428230,21.41,32.76
2025-05-22 13:54:37.673433,14.79,6.18
2025-05-22 13:55:08.642071,11.54,21.47
2025-05-22 13:55:39.199814,7.58,11.39
2025-05-22 13:56:09.389910,13.9,11.21
2025-05-22 13:56:39.986290,12.71,23.63
2025-05-22 13:57:10.306649,12.35,6.63
2025-05-22 13:57:41.321521,7.92,24.74
2025-05-22 13:58:11.673922,14.02,24.86
2025-05-22 13:58:42.117687,2.68,14.08
2025-05-22 13:59:22.360479,8.93,13.7
2025-05-22 13:59:52.837888,13.33,13.42
2025-05-22 14:00:23.167695,12.48,10.01
2025-05-22 14:00:54.230942,12.48,24.92
2025-05-22 14:01:24.686960,11.93,14.51
2025-05-22 14:01:56.006110,7.49,21.71
2025-05-22 14:02:26.908970,11.75,15.0
2025-05-22 14:02:57.531657,12.89,23.42
2025-05-22 14:03:28.771221,13.68,11.03
2025-05-22 14:03:59.551843,8.73,24.49
2025-05-22 14:04:30.112602,7.97,13.38
2025-05-22 14:05:03.121897,13.7,15.57
2025-05-22 14:05:33.477328,11.12,21.2
2025-05-22 14:06:04.751833,15.64,25.46
2025-05-22 14:06:35.221854,11.07,27.7
2025-05-22 14:07:05.593176,14.5,24.82
2025-05-22 14:07:35.815492,22.94,41.89
2025-05-22 14:08:06.207919,16.62,29.45
2025-05-22 14:08:36.414772,19.01,35.14
2025-05-22 14:09:07.224948,20.9,28.34
2025-05-22 14:09:37.510805,11.63,26.1
2025-05-22 14:10:08.361734,11.36,22.0
2025-05-22 14:10:38.705292,20.4,18.66
2025-05-22 14:11:10.005670,12.03,9.38
2025-05-22 14:11:42.162577,13.09,19.97
2025-05-22 14:12:13.369623,7.02,11.12
2025-05-22 14:12:43.951959,3.57,22.46
2025-05-22 14:13:14.797198,7.2,22.04
2025-05-22 14:13:45.436933,4.81,15.17
2025-05-22 14:14:15.785945,9.95,12.12
2025-05-22 14:14:46.611851,12.09,26.01
2025-05-22 14:15:16.861000,15.22,25.78
2025-05-22 14:15:47.226664,9.98,28.22
2025-05-22 14:16:17.948633,17.77,19.86
2025-05-22 14:16:48.839984,12.71,24.44
2025-05-22 14:17:19.071697,9.22,34.62
2025-05-22 14:17:49.564063,5.64,3.51
2025-05-22 14:18:22.130443,14.02,22.3
2025-05-22 14:18:52.935059,13.45,35.05
2025-05-22 14:19:23.214638,9.79,34.43
2025-05-22 14:19:53.615740,10.27,29.83
2025-05-22 14:20:25.932958,14.1,19.22
2025-05-22 14:20:56.383567,16.75,35.56
2025-05-22 14:21:26.777529,9.62,30.37
2025-05-22 14:21:57.112477,14.26,18.73
2025-05-22 14:22:27.378183,11.87,31.08
2025-05-22 14:22:57.749366,8.22,36.99
2025-05-22 14:23:28.058629,9.78,25.93
2025-05-22 14:23:59.982924,21.71,23.85
2025-05-22 14:24:32.443205,21.73,44.3
2025-05-22 14:25:02.756325,12.71,30.65
2025-05-22 14:25:33.045858,19.47,20.54
2025-05-22 14:26:03.306527,18.27,43.24
2025-05-22 14:26:33.435342,21.73,35.71
2025-05-22 14:27:03.615036,5.67,36.94
2025-05-22 14:27:33.930137,12.39,6.51
2025-05-22 14:28:07.558913,19.09,44.37
2025-05-22 14:28:37.695355,10.59,0.42
2025-05-22 14:29:14.149348,7.15,32.68
2025-05-22 14:29:44.575475,12.29,19.71
2025-05-22 14:30:17.433732,16.71,25.92
2025-05-22 14:30:47.651875,14.27,16.62
2025-05-22 14:31:17.951926,8.1,21.11
2025-05-22 14:31:48.364416,14.18,8.88
2025-05-22 14:32:19.104198,16.37,36.51
2025-05-22 14:32:49.400450,1.14,14.43
2025-05-22 14:33:19.862301,9.98,41.04
2025-05-22 14:33:50.446710,17.12,28.66
2025-05-22 14:34:21.025637,16.09,18.13
2025-05-22 14:34:51.782970,17.57,42.44
2025-05-22 14:35:22.085504,6.89,23.83
2025-05-22 14:35:52.472726,19.35,20.18
2025-05-22 14:36:22.889132,18.09,18.73
2025-05-22 14:36:53.094012,18.95,42.09
2025-05-22 14:37:23.509191,12.35,5.88
2025-05-22 14:37:54.639817,3.44,19.15
